user1,user2
5885,2671
2671,8089
8089,19058
19058,11366
11366,11096
11096,117
117,9015
9015,4602
4602,9556
9556,10358
10358,21220
21220,12267
12267,14041
14041,18981
18981,2965
2965,5881
5881,8174
8174,11970
11970,1589
1589,7438
7438,1871
19663,903
903,1470
1470,2925
2925,17870
17870,4910
4910,21515
21515,13407
13407,10265
10265,21806
21806,19981
19981,17665
17665,19311
19311,11206
11206,14108
14108,6764
6764,10973
10973,2893
2893,18128
18128,8174
8174,17149
17149,13644
13644,470
470,6662
6662,16913
16913,8508
8508,10230
10230,943
943,7014
7014,10485
2688,13622
13622,5366
5366,13709
13709,22304
22304,15281
15281,8576
8576,7086
9540,22843
22843,2010
2010,20588
20588,13907
13907,13660
13660,11096
11096,7746
7746,22688
22688,3548
3548,16117
16117,10985
10985,14432
14432,16314
16314,19302
19302,15745
6662,12402
12402,8402
8402,8372
8372,15696
15696,14683
14683,9669
9669,10209
10209,7364
7364,7370
7370,4250
4250,10292
10292,21700
21700,3903
3903,4453
4453,12
12,1091
1091,4120
4120,16831
16831,5407
5407,11385
11385,22505
22505,11296
11296,7256
7256,4848
4848,15948
15948,9398
9398,17461
17461,6799
6799,5468
5468,8954
8954,3099
3099,2021
2021,22871
22871,21714
21714,16188
16188,3681
3681,10597
10597,20372
20372,1761
1761,9195
9195,7763
7763,1388
1388,3669
3669,657
657,16560
16560,757
757,8274
10230,20588
20588,569
569,11063
11063,11705
11705,1887
1887,19240
19240,13483
13483,19008
19008,16872
16872,18031
18031,8119
8119,5293
5293,21974
21974,7671
7671,16975
16975,2390
2390,919
919,9466
9466,8262
8262,5409
5409,19405
19405,6521
6521,15203
15203,9370
9370,4419
4419,13898
13898,7014
7014,14587
14587,19471
19471,7479
7479,17038
17038,8060
8060,2960
2960,20470
1116,17144
17144,6562
6562,9969
9969,1919
1919,7014
7194,8253
8253,12102
12102,2743
2743,6236
6236,3669
22315,16972
16972,2539
2539,7150
7150,9160
9160,12402
12402,12799
12799,9178
9178,19981
19981,6101
6101,10700
10700,19526
19526,7244
7244,7591
7591,12254
12254,3858
3858,5742
5742,9540
9540,19663
19663,15330
15330,5971
5971,18647
18647,7671
7671,7192
7192,9672
9672,16220
16220,3676
3676,22005
22005,9806
9806,15808
15808,19206
19206,22854
22854,19422
