user1,user2
1158,288
288,2158
2158,1183
1183,3991
3991,1113
1113,468
468,2810
2810,2989
2989,1704
1704,899
899,4114
4114,445
445,650
650,61
61,3968
3968,352
352,2497
2497,1616
1616,492
492,1776
1776,579
579,1541
1541,3727
3727,4093
4093,4645
4645,3526
3526,4364
4364,2282
2282,4062
4062,1314
1314,3221
3221,2230
2230,86
86,2110
3949,3023
3023,4152
4152,1151
1151,1084
1084,2693
2693,4050
2506,1119
1119,1357
1357,1423
1423,2278
2278,266
256,927
927,2147
2147,3046
3046,4169
4169,2097
2097,348
348,27
27,1936
1936,763
763,1011
1011,2052
2052,3899
3899,3756
3756,3596
3596,4584
241,701
701,2234
2234,2345
2345,3912
3912,2448
2448,4397
4397,4304
4304,2770
27,2655
2655,3912
3912,4322
4322,2955
2955,1552
1158,1435
1435,2458
2458,335
335,1113
1113,4430
4430,3631
3352,730
730,3529
3529,4064
4064,1740
638,1537
1537,1341
1341,4430
4430,335
3266,537
537,98
98,609
609,498
1612,27
27,4298
4298,3557
3557,3454
3454,2158
2158,288
288,237
237,4114
4114,600
600,3962
3962,2332
2332,1549
1549,3757
3757,3940
3940,2001
2001,4509
4509,3629
3629,3939
3939,1494
1494,4282
4282,3378
3378,890
890,3472
3472,2043
537,4505
4505,1960
1960,3062
3062,1089
1089,4118
4118,1915
1915,661
4063,3573
3573,2497
2497,2201
2201,2423
288,4041
4041,1093
1093,804
804,339
1537,995
995,1341
1341,2510
2510,759
1615,2292
2292,4445
4445,2882
2882,1477
1477,2027
2027,1920
1797,27
27,322
322,1297
1297,3773
3773,2923
2923,1845
584,4298
4298,1959
1959,1466
1466,452
1150,3433
3433,2793
2793,2147
2147,2097
2097,763
763,1749
1158,1435
1435,3266
3266,1936
1936,1844
1844,4421
4421,2510
2510,4237
4237,1113
1113,3799
1884,173
173,653
653,1643
1643,2570
2570,3722
3722,2079
2079,27
335,1802
1802,4368
4368,3785
3785,4441
4441,1367
1367,3197
3197,679
679,2159
596,822
822,3662
3662,1539
1539,1546
1546,4132
4132,4263
4263,335
335,1264
1264,3865
3865,2135
2135,3331
360,2775
2775,3665
3665,2533
2533,879
879,634
634,46
46,2296
2296,4504
4504,1293
1036,537
537,1093
1093,3532
3532,2941
2941,3916
3916,1586
1586,1549
1549,2244
2244,4669
4669,3516
3516,725
3815,2894
2894,4700
4700,288
288,4574
4574,3266
3266,3636
3636,537
537,225
225,4237
4237,4017
4017,3079
3079,335
1466,804
804,3876
3876,1242
1242,2107
2107,360
360,3400
3400,36
36,1384
1384,1961
1961,2350
2350,2497
2497,4605
4605,651
651,4224
4224,2913
2913,448
2812,1779
1779,3969
3969,2271
2271,2751
2751,4517
2107,1167
1167,329
329,1287
1287,599
599,3117
3117,843
361,122
122,4499
4499,1248
1248,3256
3256,1560
1560,2401
2401,2908
2908,428
428,1915
1915,3787
1920,2533
2533,2311
2311,2043
2043,1154
1154,1073
1073,397
3981,27
27,4397
4397,4106
4106,747
747,3287
3287,3836
3836,3054
3054,3099
3099,1926
1926,1110
1110,2083
2083,1041
1041,509
509,4385
4385,2913
2913,2648
2648,4381
4381,2232
2232,3531
27,3283
3283,1037
1037,1618
1618,1275
1275,3655
3655,2609
2609,1612
1612,551
551,2391
2391,3685
3685,954
954,897
897,4201
4201,2712
2712,3771
3771,4049
4049,4125
4125,1392
1392,3023
3023,580
580,3837
3837,407
407,4515
4515,4126
4126,4152
4152,1763
1763,4376
4376,2314
2314,1200
1200,4194
4194,61
61,4550
4550,4673
4673,1893
1893,4478
4478,2533
2533,1043
1043,3090
3090,709
709,1955
1955,2649
2649,1539
1539,3277
3277,3813
3813,3160
3160,4185
4185,2023
2023,3714
3714,650
650,1183
1183,574
574,2387
2387,443
443,2948
2948,2577
2577,957
957,2966
2966,3423
3423,3351
3351,1597
1597,2513
2513,3624
3624,3566
3566,117
117,4113
4113,4114
4114,382
382,2524
2524,1158
1158,3664
3664,2064
2064,3419
3419,1113
1113,340
340,4611
4611,3053
3053,1364
1364,3793
3793,784
784,1500
1500,965
965,49
49,4045
4045,1764
1764,101
101,3230
3230,3670
3670,2853
2853,3687
3687,3427
3427,2337
2337,3869
3869,227
227,2497
2497,1350
1350,711
711,3996
3996,1617
1617,3478
3478,2915
2915,4163
4163,3220
3220,643
643,2810
2810,880
880,827
827,1626
1626,3215
3215,537
537,2247
2247,3088
3088,3117
3117,2549
2549,3039
3039,2017
2017,3638
3638,600
600,3206
3206,1610
1610,971
971,576
712,2712
2712,1758
1758,4511
4511,1276
1276,1393
1393,893
893,2498
2498,559
559,2283
2283,2991
548,366
366,1875
1875,4684
4684,1095
1095,3287
3287,3887
3887,2084
2084,3836
3836,2083
2083,1441
1441,584
4383,3436
3436,701
701,2949
2949,27
27,867
867,2520
2520,2412
2412,327
327,1450
1450,3683
789,1539
1539,3949
3949,3662
3662,4489
4489,1151
1151,335
335,3331
3331,2693
335,1435
1435,1158
1158,2458
2458,856
856,814
814,2179
2179,3266
3266,3453
3453,3876
3876,804
804,3735
3735,2633
2633,1615
1615,1927
1927,4417
4417,2022
2022,1402
1402,2932
2932,3793
2497,1158
1158,4452
4452,2229
2229,938
938,4418
4418,410
410,4567
4567,3291
3291,3912
3912,948
948,2339
2339,3090
3090,1279
1279,1537
1537,1338
1338,3128
3128,3897
3897,3219
4113,541
541,2989
2989,123
123,1047
1047,2811
2811,446
2878,1810
1810,1883
1883,25
25,763
1155,155
155,135
135,1117
1117,3903
3903,4442
4442,4383
4383,27
27,286
286,725
725,581
3023,2181
2181,221
221,4143
4143,1741
1741,1183
1183,2137
2137,4545
4545,2524
2524,3759
3759,1314
1314,541
541,288
288,2761
2761,4126
4126,3664
3664,340
340,4113
4113,2414
2414,1158
1158,2740
2740,3077
